eic_p,eic_g,type_g,cyear,Generation,cf,time_coverage,co2emitted
19W000000000016F,19W000000000030L,Fossil Brown coal/Lignite,2015,2239781.0,0.657,0.997,2601570000.0
19W000000000016F,19W000000000032H,Fossil Brown coal/Lignite,2015,5373559.0,0.717,0.997,6063220000.0
17W100P100P01776,17W100P100P0092E,Nuclear,2015,6742115.0,0.847,0.999,0.0
17W100P100P01784,17W100P100P0093C,Nuclear,2015,6244486.0,0.784,0.999,0.0
17W100P100P01792,17W100P100P0094A,Nuclear,2015,2211359.0,0.278,0.999,0.0
17W100P100P0180H,17W100P100P00958,Nuclear,2015,4509757.0,0.566,0.999,0.0
17W100P100P0243J,17W100P100P0173E,Fossil Gas,2015,1051848.0,0.299,0.941,387616000.0
48WSTN00000BLLAV,48W000000BLLA-1K,Wind Onshore,2015,137752.0,0.156,0.755,0.0
14W-VOEST-KW---0,14W-BLOCK07-L--J,Fossil Gas,2015,879637.0,0.664,0.989,449833000.0
11WD2HANN5C----0,11WD2HANN5C---1X,Fossil Hard coal,2015,875155.0,0.743,0.989,923209000.0
11WD2HANN5C----0,11WD2HANN5C---2V,Fossil Hard coal,2015,784543.0,0.671,0.981,827622000.0
11WD2MEHR2CSWH-O,11WD2MEHR2CSWHCZ,Fossil Hard coal,2015,2862813.0,0.479,0.989,2555390000.0
11WD7NORF5G--KWG,11WD7NORF5GAGUDC,Fossil Gas,2015,174130.0,0.201,0.989,71642100.0
11WD2HERR5GKW--1,11WD2HERR5G----G,Fossil Gas,2015,6213.0,0.007,0.981,5445830.0
11WD7NORF5G--KWG,11WD7NORF5G-HTER,Fossil Gas,2015,54122.0,0.021,0.989,31174300.0
11WD7NORF5G--KWG,11WD7NORF5GGUDFA,Fossil Gas,2015,351428.0,0.202,0.334,186442000.0
11WD7LUDW2GA800M,11WD7LUDW2GGT11E,Fossil Gas,2015,1504213.0,0.843,0.989,798025000.0
11WD7LUDW2GA800M,11WD7LUDW2GGT12C,Fossil Gas,2015,1475907.0,0.827,0.989,850122000.0
11WD7LUDW5GSUEDE,11WD7LUDW5GSDG1Q,Fossil Gas,2015,801693.0,0.52,0.989,336711000.0
11WD7LUDW5GSUEDE,11WD7LUDW5GSDG2O,Fossil Gas,2015,1147783.0,0.793,0.989,625387000.0
43W-RTEC-2-1---C,43W-RTEC-2-GG1-B,Fossil Gas,2015,384107.0,0.151,0.999,137524000.0
43W-RTEC-2-1---C,43W-RTEC-2-TG1-K,Fossil Gas,2015,215605.0,0.164,0.999,111729000.0
43W-RTEC-2-2---7,43W-RTEC-2-GG2-8,Fossil Gas,2015,621428.0,0.244,0.999,222494000.0
43W-RTEC-2-2---7,43W-RTEC-2-TG2-H,Fossil Gas,2015,340190.0,0.261,0.999,176290000.0
24WV--EBO------8,24WG--EBOG31---D,Nuclear,2015,937008.0,0.747,0.573,0.0
24WV--EBO------8,24WG--EBOG32---8,Nuclear,2015,936236.0,0.746,0.573,0.0
24WV--EBO------8,24WG--EBOG41---7,Nuclear,2015,1198937.0,0.956,0.573,0.0
24WV--EBO------8,24WG--EBOG42---2,Nuclear,2015,1197939.0,0.955,0.573,0.0
49W0000000000520,49W000000000053Z,Fossil Hard coal,2015,2116003.0,0.6,0.986,2061110000.0
49W000000000054X,49W000000000055V,Nuclear,2015,3674924.0,0.862,0.989,0.0
17W100P100P0281B,17W100P100P0052Q,Hydro Water Reservoir,2015,87746.0,0.087,0.979,0.0
17W100P100P0281B,17W100P100P0054M,Hydro Water Reservoir,2015,114011.0,0.132,0.868,0.0
17W100P100P0235I,17W100P100P0016U,Fossil Hard coal,2015,279601.0,0.134,0.956,272060000.0
48WSTN0000BOWLWY,48W00000BOWLW-1K,Wind Offshore,2015,217909.0,0.321,0.86,0.0
48WSTN0000BRDUWV,48W00000BRDUW-1V,Wind Onshore,2015,129735.0,0.237,0.845,0.0
17W100P100P02586,17W100P100P02578,Fossil Oil,2015,1931.0,0.003,1.0,1735660.0
17W100P100P0260J,17W100P100P02594,Fossil Oil,2015,1639.0,0.002,1.0,1473200.0
17W100P100P0261H,17W100P100P0033U,Fossil Oil,2015,4555.0,0.004,1.0,3732960.0
48WSTN00000BRGGA,48W000000BRGG-1M,Fossil Gas,2015,8989.0,0.245,0.016,4297160.0
11WD2BRKW000294C,11WD2BROK000123P,Nuclear,2015,10516481.0,0.861,0.989,0.0
17W100P100P02829,17W100P100P0055K,Hydro Water Reservoir,2015,282329.0,0.134,1.0,0.0
48WSTN0000BRYBW4,48W00000BRYBW-10,Wind Onshore,2015,132401.0,0.26,0.88,0.0
